Mes,Proyecto,Cliente,Servicio,Ingresos,HorasFacturadas,TarifaHora,CosteEquipo,MargenBruto,Estado,Equipo,Seniority,Satisfaccion
Abr 2025,Apache NiFi Pipeline,Telefónica,Big Data,27184,194,140,16684,10500,Activo,"Sergio Mar,Olga Rey",SemiSenior,84
Abr 2025,Cloud Migration AWS,Mapfre,Cloud,29789,214,139,19625,10164,Activo,"Hugo Bris,Gema Flor",SemiSenior,73
Abr 2025,Data Lake Retail,El Corte Inglés,Big Data,46767,345,135,30130,16637,Activo,"Raúl Fez,Elena Ser,Diego Val",Senior,88
Abr 2025,Fraud Detection,BBVA,IA,46708,341,137,30337,16371,Activo,"Marta Ros,Pablo Tor,Víctor Ari,Clara Luz",Junior,70
Abr 2025,IA Documental,Ministerio Justicia,IA,37634,269,140,23634,14000,Activo,"Nuria Cal,Luis Vaz",Junior,85
Abr 2025,KloudAnalytics Migration,Iberdrola,Cloud,40067,295,136,24574,15493,Activo,"Jorge Sanz,Lucía Tres",SemiSenior,78
Abr 2025,Kloudoop On-Premise,Santander GlobalTech,Big Data,50012,364,138,31784,18228,Activo,"Carlos Mena,Laura Gil,Pedro Sol,María Paz",Junior,76
Abr 2025,Smart Medical Codex,Grupo Hospitales Madrid,IA,41817,297,140,24939,16878,Activo,"Ana López,David Ruiz,Sara Gil",SemiSenior,76
Abr 2026,Apache NiFi Pipeline,Telefónica,Big Data,27370,196,140,18484,8886,Activo,"Sergio Mar,Olga Rey",SemiSenior,83
Abr 2026,Cloud Migration AWS,Mapfre,Cloud,29674,213,139,19152,10522,Activo,"Hugo Bris,Gema Flor",SemiSenior,89
Abr 2026,Data Lake Retail,El Corte Inglés,Big Data,41936,310,135,28104,13832,Activo,"Raúl Fez,Elena Ser,Diego Val",Junior,91
Abr 2026,Fraud Detection,BBVA,IA,47309,346,137,30239,17070,Activo,"Marta Ros,Pablo Tor,Víctor Ari,Clara Luz",Junior,90
Abr 2026,IA Documental,Ministerio Justicia,IA,34362,245,140,22133,12229,Activo,"Nuria Cal,Luis Vaz",SemiSenior,90
Abr 2026,KloudAnalytics Migration,Iberdrola,Cloud,40570,299,136,26617,13953,Activo,"Jorge Sanz,Lucía Tres",SemiSenior,75
Abr 2026,Kloudoop On-Premise,Santander GlobalTech,Big Data,53865,392,138,32636,21229,Activo,"Carlos Mena,Laura Gil,Pedro Sol,María Paz",Senior,93
Abr 2026,Smart Medical Codex,Grupo Hospitales Madrid,IA,45683,325,140,28498,17185,Activo,"Ana López,David Ruiz,Sara Gil",Senior,93
Ago 2025,Apache NiFi Pipeline,Telefónica,Big Data,21204,151,140,13177,8027,Completado,"Sergio Mar,Olga Rey",SemiSenior,88
